LOANID,PAYMENT_ID,TRANSACTION_DATE,APPLY_DATE,DAYS_DIFF,PAYMENT_TYPE,TRANSACTION_AMOUNT,IS_REVERSED,IS_REJECTED,IS_SETTLED
P000DBEF8E351,2455210,2023-01-04,2023-01-03,-1,Custom - User Forced,175.32,0,0,1
P003B5A3E657A,2367543,2022-12-18,2022-12-19,1,Custom - User Forced,1008.65,0,0,1
P003B5A3E657A,2367521,2022-09-18,2022-09-19,1,Custom - User Forced,1008.65,0,0,1
P003B5A3E657A,2367502,2022-06-18,2022-06-21,3,Custom - User Forced,1008.65,0,0,1
P003B5A3E657A,2367463,2021-12-18,2021-12-20,2,Custom - User Forced,1008.65,0,0,1
P003B5A3E657A,2367448,2021-09-18,2021-09-20,2,Custom - User Forced,1008.65,0,0,1
P003B5A3E657A,2367435,2021-07-18,2021-07-19,1,Custom - User Forced,1008.65,0,0,1
P003B5A3E657A,2367423,2021-04-18,2021-04-19,1,Custom - User Forced,1008.65,0,0,1
P003B5A3E657A,2367412,2021-01-18,2021-01-19,1,Custom - User Forced,1008.65,0,0,1
P003B5A3E657A,2367404,2020-10-18,2020-10-19,1,Custom - User Forced,1008.65,0,0,1
P003B5A3E657A,2367392,2020-07-18,2020-07-20,2,Custom - User Forced,1008.65,0,0,1
P004674D5C0B6,2443310,2020-11-11,2020-11-12,1,Custom - User Forced,322.89,0,0,1
P004EF695760E,2459626,2023-07-22,2023-07-24,2,Custom - User Forced,160.00,0,0,1
P004EF695760E,2459622,2023-01-28,2023-01-30,2,Custom - User Forced,510.19,0,0,1
P004EF695760E,2459618,2022-12-31,2023-01-02,2,Custom - User Forced,510.19,0,0,1
P004EF695760E,2459605,2022-10-22,2022-10-24,2,Custom - User Forced,510.19,0,0,1
P004EF695760E,2459603,2022-09-24,2022-09-26,2,Custom - User Forced,510.19,0,0,1
P004EF695760E,2459598,2022-08-27,2022-08-29,2,Custom - User Forced,510.19,0,0,1
P004EF695760E,2459592,2022-07-30,2022-08-01,2,Custom - User Forced,510.19,0,0,1
P004EF695760E,2459584,2022-05-21,2022-05-23,2,Custom - User Forced,510.19,0,0,1
P004EF695760E,2459574,2022-02-26,2022-02-28,2,Custom - User Forced,510.19,0,0,1
P004EF695760E,2459557,2021-11-13,2021-11-15,2,Custom - User Forced,510.19,0,0,1
P004EF695760E,2459530,2021-06-13,2021-06-14,1,Custom - User Forced,510.19,0,0,1
P004EF695760E,2459510,2021-02-13,2021-02-16,3,Custom - User Forced,510.19,0,0,1
P004EF695760E,2459498,2020-12-13,2020-12-14,1,Custom - User Forced,510.19,0,0,1
P005975916E0D,2513056,2022-05-15,2022-05-16,1,Custom - User Forced,596.08,0,0,1
P005D023FF001,2694823,2023-06-14,2023-08-30,77,Write-Off Recovery,624.00,0,0,1
P005D023FF001,2694816,2023-05-04,2023-08-30,118,Write-Off Recovery,624.00,0,0,1
P005D023FF001,2694809,2023-03-31,2023-08-30,152,Write-Off Recovery,624.00,0,0,1
P005D023FF001,2694731,2022-04-02,2022-04-04,2,Custom - User Forced,623.74,0,0,1
P005D023FF001,2694711,2022-01-02,2022-01-03,1,Custom - User Forced,623.74,0,0,1
P007E46AF1AF5,2657265,2024-01-28,2024-01-29,1,Custom - User Forced,1005.05,0,0,1
P007E46AF1AF5,2657201,2023-05-21,2023-05-22,1,Custom - User Forced,1005.05,0,0,1
P007E46AF1AF5,2657170,2023-01-21,2023-01-23,2,Custom - User Forced,1005.05,0,0,1
P007E5BB75634,2396033,2021-04-24,2021-04-26,2,Custom - User Forced,619.54,0,0,1
P007E5BB75634,2396029,2021-01-24,2021-01-25,1,Custom - User Forced,619.54,0,0,1
P007E5BB75634,2396021,2020-05-24,2020-05-26,2,Custom - User Forced,619.54,0,0,1
P007E5BB75634,2396001,2019-11-24,2019-11-25,1,Custom - User Forced,619.54,0,0,1
P007E5BB75634,2395993,2019-08-24,2019-08-26,2,Custom - User Forced,619.54,0,0,1
P007EB71A9877,2468676,2023-02-17,2023-02-24,7,Custom - User Forced,300.00,0,0,1
P007EB71A9877,2468656,2022-07-16,2022-07-18,2,Custom - User Forced,497.21,0,0,1
P007EB71A9877,2468636,2022-04-16,2022-04-18,2,Custom - User Forced,497.21,0,0,1
P007EB71A9877,2468617,2022-01-16,2022-01-18,2,Custom - User Forced,497.21,0,0,1
P007EB71A9877,2468594,2021-10-10,2021-10-12,2,Custom - User Forced,497.21,0,0,1
P007EB71A9877,2468572,2021-07-10,2021-07-12,2,Custom - User Forced,497.21,0,0,1
P007EB71A9877,2468554,2021-04-10,2021-04-12,2,Custom - User Forced,497.21,0,0,1
P007EB71A9877,2468537,2021-01-10,2021-01-11,1,Custom - User Forced,497.21,0,0,1
P008C871B22ED,2985473,2025-03-17,2024-08-09,-220,Regular,225.00,0,0,0
P008C871B22ED,2987440,2025-03-17,2024-09-19,-179,Regular,225.00,0,0,0
P008C871B22ED,2946204,2025-03-14,2024-08-09,-217,Principal Only,225.00,0,0,0
