TABLE_SCHEMA,TABLE_NAME,COLUMN_COUNT
TPCDS_SF100TCL,CALL_CENTER,31
TPCDS_SF100TCL,CATALOG_PAGE,9
TPCDS_SF100TCL,CATALOG_RETURNS,27
TPCDS_SF100TCL,CATALOG_SALES,34
TPCDS_SF100TCL,CUSTOMER,18
TPCDS_SF100TCL,CUSTOMER_ADDRESS,13
TPCDS_SF100TCL,CUSTOMER_DEMOGRAPHICS,9
TPCDS_SF100TCL,DATE_DIM,28
TPCDS_SF100TCL,HOUSEHOLD_DEMOGRAPHICS,5
TPCDS_SF100TCL,INCOME_BAND,3
TPCDS_SF100TCL,INVENTORY,4
TPCDS_SF100TCL,ITEM,22
TPCDS_SF100TCL,PROMOTION,19
TPCDS_SF100TCL,REASON,3
TPCDS_SF100TCL,SHIP_MODE,6
TPCDS_SF100TCL,STORE,29
TPCDS_SF100TCL,STORE_RETURNS,20
TPCDS_SF100TCL,STORE_SALES,23
TPCDS_SF100TCL,TIME_DIM,10
TPCDS_SF100TCL,WAREHOUSE,14
TPCDS_SF100TCL,WEB_PAGE,14
TPCDS_SF100TCL,WEB_RETURNS,24
TPCDS_SF100TCL,WEB_SALES,34
TPCDS_SF100TCL,WEB_SITE,26
TPCDS_SF10TCL,CALL_CENTER,31
TPCDS_SF10TCL,CATALOG_PAGE,9
TPCDS_SF10TCL,CATALOG_RETURNS,27
TPCDS_SF10TCL,CATALOG_SALES,34
TPCDS_SF10TCL,CUSTOMER,18
TPCDS_SF10TCL,CUSTOMER_ADDRESS,13
TPCDS_SF10TCL,CUSTOMER_DEMOGRAPHICS,9
TPCDS_SF10TCL,DATE_DIM,28
TPCDS_SF10TCL,HOUSEHOLD_DEMOGRAPHICS,5
TPCDS_SF10TCL,INCOME_BAND,3
TPCDS_SF10TCL,INVENTORY,4
TPCDS_SF10TCL,ITEM,22
TPCDS_SF10TCL,PROMOTION,19
TPCDS_SF10TCL,REASON,3
TPCDS_SF10TCL,SHIP_MODE,6
TPCDS_SF10TCL,STORE,29
TPCDS_SF10TCL,STORE_RETURNS,20
TPCDS_SF10TCL,STORE_SALES,23
TPCDS_SF10TCL,TIME_DIM,10
TPCDS_SF10TCL,WAREHOUSE,14
TPCDS_SF10TCL,WEB_PAGE,14
TPCDS_SF10TCL,WEB_RETURNS,24
TPCDS_SF10TCL,WEB_SALES,34
TPCDS_SF10TCL,WEB_SITE,26
TPCH_SF1,CUSTOMER,8
TPCH_SF1,LINEITEM,16
TPCH_SF1,NATION,4
TPCH_SF1,ORDERS,9
TPCH_SF1,PART,9
TPCH_SF1,PARTSUPP,5
TPCH_SF1,REGION,3
TPCH_SF1,SUPPLIER,7
TPCH_SF10,CUSTOMER,8
TPCH_SF10,LINEITEM,16
TPCH_SF10,NATION,4
TPCH_SF10,ORDERS,9
TPCH_SF10,PART,9
TPCH_SF10,PARTSUPP,5
TPCH_SF10,REGION,3
TPCH_SF10,SUPPLIER,7
TPCH_SF100,CUSTOMER,8
TPCH_SF100,LINEITEM,16
TPCH_SF100,NATION,4
TPCH_SF100,ORDERS,9
TPCH_SF100,PART,9
TPCH_SF100,PARTSUPP,5
TPCH_SF100,REGION,3
TPCH_SF100,SUPPLIER,7
TPCH_SF1000,CUSTOMER,8
TPCH_SF1000,LINEITEM,16
TPCH_SF1000,NATION,4
TPCH_SF1000,ORDERS,9
TPCH_SF1000,PART,9
TPCH_SF1000,PARTSUPP,5
TPCH_SF1000,REGION,3
TPCH_SF1000,SUPPLIER,7
